,A_adcl,B_adcl,C_adcl,D_adcl,E_adcl,A_edpl,B_edpl,C_edpl,D_edpl,E_edpl,A_mindistl,B_mindistl,C_mindistl,D_mindistl,E_mindistl,A_prichness,B_prichness,C_prichness,D_prichness,E_prichness,community,sourceSeq,seqID,organism,ncbi_tax_id,multiplicity,B_adcl_log,C_adcl_log,D_adcl_log,E_adcl_log
10,6e-06,5e-06,0.101341,0.12707100000000002,0.12661,0.0,0.0,0.00985902,0.106555,0.0167464,6.06524658203e-06,5.48764648438e-06,0.0311725301855,5.801342773440001e-06,5.42806396484e-06,1.0,1.0,3.0,14.0,11.0,CC11CM70,AENT01000008.101.1407,CC11CM70SCRbc2247c3c857406ebe5067a1e19648a2,Dialister microaerophilus,39948,900,-5.221848749616356,-5.221848749616356,-5.221848749616356,-5.221848749616356
11,9e-06,9e-06,0.028779,0.124173,0.032183,0.006708400000000001,0.00244136,0.00561087,0.015725799999999998,0.0,5.0974609375e-06,6.75129394531e-06,8.107421875e-06,8.20593261719e-06,0.0321832257695,8.0,13.0,5.0,3.0,1.0,CC11CM53,KC628751.1.1360,CC11CM53SCR9e20fd4e3d374539af65dba8760704bd,Streptococcus sanguinis,1305,899,-5.0,-5.0,-5.0,-5.0
12,8e-06,8e-06,0.207065,0.14741600000000002,0.223997,0.0,0.0,0.0282798,0.012407799999999998,0.0,7.57327270508e-06,7.81832885742e-06,0.00894620931895,9.018188476560001e-06,0.223997007465,1.0,1.0,8.0,7.0,1.0,CC11CM1,CP002530.3080993.3082512,CC11CM1SCR6c3863d42cdc4252a89a206df0b7ccb6,Bacteroides salanitronis,667015,3512,-5.045757490560675,-5.045757490560675,-5.045757490560675,-5.045757490560675
13,5e-06,8e-06,0.091736,0.070441,0.248103,0.0,0.0,0.00642122,0.0027843000000000004,0.0,5.22963867188e-06,8.37303466797e-06,5.85834960938e-06,5.16536865234e-06,0.248102921469,1.0,1.0,5.0,3.0,1.0,CC11CM1,BAJS01000049.3577.5109,CC11CM1SCR7334fcb69f8c425884f35363fbc61dcd,Bacteroides graminisolvens,1121097,636,-5.045757490560675,-5.045757490560675,-5.045757490560675,-5.045757490560675
14,1e-06,6e-06,0.092785,0.122268,0.041131,0.0100602,0.00696859,0.0289068,0.00255481,0.000370592,5.645649999999999e-07,5.41401367187e-06,7.742614746089999e-06,8.20593261719e-06,0.0073973571182800015,13.0,7.0,5.0,3.0,2.0,CC11CM7,AY117684.1.1456,CC11CM7SCRe8731afec79d4ed29a8e463701d5c9d9,Leuconostoc inhae,178001,2,-5.154901959985743,-5.154901959985743,-5.154901959985743,-5.154901959985743
15,0.342037,0.335845,0.423144,0.189272,0.145885,0.0028166,0.0186847,0.0972053,0.0484584,0.0,0.006767395721699999,0.0114146296505,7.918981933589999e-06,9.09658203125e-06,0.145885213373,3.0,3.0,7.0,9.0,1.0,CC11CM9,ADMC01000038.27513.29026,CC11CM9SCRc51c927c2c364a77b56770387c4c38b1,Odoribacter laneus,742817,176,-0.47385981987763826,-0.47385981987763826,-0.47385981987763826,-0.47385981987763826
16,1e-06,1e-06,1e-05,0.017077000000000002,0.059983,0.0947983,0.08834349999999999,0.05789490000000001,0.0,0.00764353,5.645649999999999e-07,5.56275e-07,5.1964e-07,0.017077266255299997,7.419555664060001e-06,20.0,20.0,19.0,1.0,5.0,CC11CM51,JTBE01000011.554165.555717,CC11CM51SCR93f6c0bf833340c99c1d02712a0e8d03,Escherichia coli,562,619,-5.698970004336019,-5.698970004336019,-5.698970004336019,-5.698970004336019
17,7.000000000000002e-06,7.000000000000002e-06,0.135012,0.16428099999999998,0.274672,0.0,0.0,0.020675400000000003,0.0,0.0574462,6.7315673828099995e-06,6.727416992190001e-06,5.677734375e-06,0.164281350698,5.348828125e-06,1.0,1.0,11.0,1.0,11.0,CC11CM67,NR_025981.1,CC11CM67SCR20a16740d6414785842ca2416d065d17,Butyrivibrio fibrisolvens,831,112,-5.096910013008056,-5.096910013008056,-5.096910013008056,-5.096910013008056
18,7.000000000000002e-06,0.137668,0.021522,0.155496,0.204297,0.0,0.0311159,0.0651027,0.0158443,0.0,6.84752197266e-06,6.5899169921900005e-06,0.00285649562569,9.018188476560001e-06,0.204296637032,1.0,6.0,8.0,6.0,1.0,CC11CM83,AB200224.1.1490,CC11CM83SCR3063c12bd4584db88038e003d4a89cef,Bacteroides coprocola,310298,312,-0.8611638422022193,-0.8611638422022193,-0.8611638422022193,-0.8611638422022193
19,8e-06,0.211817,0.32391,0.285484,0.152062,0.0,0.061846800000000014,0.0519861,0.0240972,0.0,8.310021972660001e-06,0.00653609682157,5.0537109375e-06,9.09658203125e-06,0.152061846547,1.0,3.0,11.0,6.0,1.0,CC11CM43,CAHI01000040.8.1515,CC11CM43SCR36761b2c84044c079c0029fb48300ad7,Alistipes senegalensis,1033732,1371,-0.674037136917329,-0.674037136917329,-0.674037136917329,-0.674037136917329
20,0.052963,0.129368,0.119658,0.183879,0.248747,0.0115301,0.043349800000000015,0.15273499999999998,0.0,0.0579438,5.9599609375e-06,6.19040527344e-06,8.19885253906e-06,0.18387904677,0.00689706398036,3.0,7.0,6.0,1.0,11.0,CC11CM48,ACBZ01000217.267.1788,CC11CM48SCR4b892ba35590442cb8b62a4dd6a5ab21,Blautia hydrogenotrophica,476272,456,-0.8881697788594273,-0.8881697788594273,-0.8881697788594273,-0.8881697788594273
21,0.127159,0.110501,0.07861,0.051603,0.234471,0.0,0.0,0.0,9.54169e-05,0.0,0.12715871796800002,0.110501083365,0.07860952575380001,0.0516032130541,0.234470540876,1.0,1.0,1.0,2.0,1.0,CC11CM91,AB542765.1.1491,CC11CM91SCR324bb75c74174348856f23e66d62c352,Bacteroides propionicifaciens,392838,69,-0.9566298615163966,-0.9566298615163966,-0.9566298615163966,-0.9566298615163966
22,8e-06,8e-06,0.207065,0.14741600000000002,0.223997,0.0,0.0,0.0282798,0.012407799999999998,0.0,7.57327270508e-06,7.81832885742e-06,0.00894620931895,9.018188476560001e-06,0.223997007465,1.0,1.0,8.0,7.0,1.0,CC11CM69,NR_041447.1,CC11CM69SCR39bddb90ddae4a49878c383baa0439e7,Bacteroides salanitronis,376805,1848,-5.045757490560675,-5.045757490560675,-5.045757490560675,-5.045757490560675
23,0.046558,0.205307,0.264883,0.27018400000000004,0.17666600000000002,0.034919599999999995,0.00276212,0.0947449,0.0387848,0.0,0.00258215427606,0.00326694414807,5.0537109375e-06,9.07360839844e-06,0.17666648402600002,5.0,3.0,11.0,7.0,1.0,CC11CM31,ABFK02000017.223676.225190,CC11CM31SCR6750a93948034cdb87b0d2b671776bdd,Alistipes putredinis,445970,246,-0.6875941276476072,-0.6875941276476072,-0.6875941276476072,-0.6875941276476072
24,8e-06,6e-06,0.04545,0.106848,0.031095,0.0,0.0,0.0670673,0.0,0.0,8.14053955078e-06,6.376171875e-06,6.40991210938e-06,0.0967905092742,0.0310947245133,1.0,1.0,13.0,1.0,1.0,CC11CM25,AB297927.1.1447,CC11CM25SCRc3f8c7f2ce6b48b3b926b7ddf8967efc,Lactobacillus senmaizukei,431273,6,-5.154901959985743,-5.154901959985743,-5.154901959985743,-5.154901959985743
25,8e-06,0.211817,0.32391,0.285484,0.152062,0.0,0.061846800000000014,0.0519861,0.0240972,0.0,8.310021972660001e-06,0.00653609682157,5.0537109375e-06,9.09658203125e-06,0.152061846547,1.0,3.0,11.0,6.0,1.0,CC11CM14,NR_125589.1,CC11CM14SCR349948c81d814c3db2e02f0a99b7b4d1,Alistipes timonensis JC136,1033731,4794,-0.674037136917329,-0.674037136917329,-0.674037136917329,-0.674037136917329
26,0.322536,0.251795,0.277094,0.218651,0.287244,0.138389,0.0,0.00716338,0.0347886,0.00120734,0.016679178782899998,0.0476429578727,0.0180520303597,0.019351948782400003,0.0734366947797,5.0,1.0,3.0,3.0,2.0,CC11CM76,AQOB01000012.1002.2519,CC11CM76SCRc0c44828bcd0470baa58ff1c55527b77,Butyricicoccus pullicaecorum,580596,49,-0.5989511733215869,-0.5989511733215869,-0.5989511733215869,-0.5989511733215869
27,0.322536,0.251795,0.277094,0.218651,0.287244,0.138389,0.0,0.00716338,0.0347886,0.00120734,0.016679178782899998,0.0476429578727,0.0180520303597,0.019351948782400003,0.0734366947797,5.0,1.0,3.0,3.0,2.0,CC11CM99,AQOB01000015.415037.416554,CC11CM99SCRc6d140d5668e40bf8fdf7a0bc4a87f3f,Butyricicoccus pullicaecorum,580596,229,-0.5989511733215869,-0.5989511733215869,-0.5989511733215869,-0.5989511733215869
28,9e-06,0.241491,0.319576,0.242551,0.166767,0.0108179,0.0233523,0.0127813,0.021257400000000003,0.014415700000000004,6.63342285156e-06,0.0122350283088,6.1964721679699995e-06,0.0147951099341,5.348828125e-06,3.0,5.0,3.0,3.0,5.0,CC11CM45,NR_114889.1,CC11CM45SCR8e122f4f777847c6a8b8e94998be1d04,Ruminococcus champanellensis 18P13 = JCM 17042,213810,1555,-0.6170972517174494,-0.6170972517174494,-0.6170972517174494,-0.6170972517174494
29,8e-06,7.000000000000002e-06,0.128631,0.27867,0.230364,0.0,0.0,0.00401854,0.0028051,0.0821636,8.301879882810001e-06,6.71838378906e-06,0.00983293657825,0.00311030604729,8.12546386719e-06,1.0,1.0,3.0,5.0,11.0,CC11CM72,AB793710.1.1451,CC11CM72SCR78ef3a4b31174aab9dd12564d38f6cfe,Anaerobacterium chartisolvens,1297424,36,-5.096910013008056,-5.096910013008056,-5.096910013008056,-5.096910013008056
30,8e-06,0.24622800000000006,0.13231600000000002,0.121247,0.03057,0.000497293,0.0,0.015030600000000003,0.105338,0.00170804,8.39733886719e-06,0.246227851538,0.0364613927367,8.753430175780001e-06,5.03215332031e-06,3.0,1.0,3.0,13.0,3.0,CC11CM15,Y18188.1.1489,CC11CM15SCR6685efec75fc49bd82e4395ae0336ce8,Erysipelatoclostridium,1505663,158,-0.6086607986903425,-0.6086607986903425,-0.6086607986903425,-0.6086607986903425
31,1e-06,9e-06,8e-06,0.017225999999999998,0.060698,0.0291643,0.023101,0.00726021,0.0,0.0109559,5.645649999999999e-07,5.56275e-07,5.32163085938e-06,0.0172257447264,7.419555664060001e-06,20.0,20.0,16.0,1.0,5.0,CC11CM53,JX294873.1.1407,CC11CM53SCRc88b510d3e6148a3b012bbf53d223fd1,Citrobacter gillenii,67828,27,-5.0,-5.0,-5.0,-5.0
32,5e-06,0.025904000000000003,7.000000000000002e-06,0.115871,0.035289999999999995,0.0,0.00211078,0.0,0.00891883,0.0,5.02923583984e-06,5.53168945312e-06,6.56082763672e-06,0.0021384828801300003,0.0352898968252,1.0,5.0,1.0,3.0,1.0,CC11CM88,ARCH01000026.139.1676,CC11CM88SCRaf25108aa0594a3ea30ff058f1005eb2,Streptococcus ovis,1123312,1526,-1.58661640337686,-1.58661640337686,-1.58661640337686,-1.58661640337686
33,9e-06,0.053624,0.104113,0.157021,0.257075,0.02943,0.0365102,0.0501792,0.0,0.020708,7.40341796875e-06,5.7429992675800015e-06,7.98579101562e-06,0.15702140579600002,5.348828125e-06,5.0,5.0,10.0,1.0,8.0,CC11CM60,NR_074634.1,CC11CM60SCR49f3b9da40d84d3a9500ab72f40373a4,Agathobacter rectalis ATCC 33656,515619,36,-1.2706326948072193,-1.2706326948072193,-1.2706326948072193,-1.2706326948072193
34,1e-05,0.073918,0.036449,0.14033900000000002,0.23034,0.0,0.0170616,0.0,0.033217500000000004,0.0,9.76588134766e-06,8.286328125e-06,0.0364487960043,9.018188476560001e-06,0.23033967151,1.0,11.0,1.0,7.0,1.0,CC11CM8,NR_114316.1,CC11CM8SCR2ce7a711a9654b1c8250f450d93ff11b,Bacteroides reticulotermitis JCM 10512,1445607,1357,-1.1312439170236035,-1.1312439170236035,-1.1312439170236035,-1.1312439170236035
35,5e-06,0.159948,0.418953,0.30856500000000003,0.060922,0.0,0.028742400000000005,0.0308624,0.056130999999999986,0.00982237,5.49450683594e-06,0.0167159815436,7.50607299805e-06,8.753430175780001e-06,5.03215332031e-06,1.0,3.0,5.0,4.0,5.0,CC11CM62,NR_028829.1,CC11CM62SCR8c0c113f41d64e99853cd926a44a9a36,Acholeplasma axanthum,29552,13,-0.7960184707773702,-0.7960184707773702,-0.7960184707773702,-0.7960184707773702
36,1e-06,5e-06,0.06376699999999999,0.045911,0.075324,8.38862e-07,0.0,0.00758804,0.0299704,0.0152272,5.645649999999999e-07,5.37915649414e-06,7.95908203125e-06,9.20485839844e-06,0.0288782881998,3.0,1.0,4.0,9.0,3.0,CC11CM31,JGYV01000004.18610.19972,CC11CM31SCRb772d4e7d86549c28f3976c2a0471342,Bifidobacterium cuniculi,1688,146,-5.221848749616356,-5.221848749616356,-5.221848749616356,-5.221848749616356
37,5e-06,1e-06,0.026907,0.017013,0.055315,0.0782747,0.065444,0.021321,0.0,0.00532909,5.645649999999999e-07,5.56275e-07,5.1964e-07,0.017012845130799998,7.419555664060001e-06,20.0,20.0,8.0,1.0,5.0,CC11CM86,NR_104940.1,CC11CM86SCR11609a98ede149eaa15e8cbd88fd9efe,Escherichia hermannii,565,72,-5.698970004336019,-5.698970004336019,-5.698970004336019,-5.698970004336019
38,0.079959,0.104432,0.072774,0.128631,0.113358,0.0350218,0.000584502,0.0,0.260702,0.00239509,8.07171630859e-06,0.025780124002099995,0.07277423090719999,5.801342773440001e-06,5.03215332031e-06,5.0,4.0,1.0,20.0,7.0,CC11CM7,X72867.1.1547,CC11CM7SCR5bde64dae3f34b9baabcdccdae3734f9,Phascolarctobacterium faecium,33025,290,-0.9811622460338558,-0.9811622460338558,-0.9811622460338558,-0.9811622460338558
39,7.000000000000002e-06,0.061038,0.019634,0.068713,0.168754,0.0,0.0,0.0,0.0,0.0244579,6.89813232422e-06,0.0610376186637,0.0196336647819,0.0687130101008,5.348828125e-06,1.0,1.0,1.0,1.0,10.0,CC11CM59,NR_104846.1,CC11CM59SCR3d40475a466640389729a4f5068c178e,Gemmiger formicilis,745368,613,-1.2143925900276091,-1.2143925900276091,-1.2143925900276091,-1.2143925900276091
40,9e-06,0.053624,0.104113,0.157021,0.257075,0.02943,0.0365102,0.0501792,0.0,0.020708,7.40341796875e-06,5.7429992675800015e-06,7.98579101562e-06,0.15702140579600002,5.348828125e-06,5.0,5.0,10.0,1.0,8.0,CC11CM85,NR_074634.1,CC11CM85SCR700cd438ff244d208bb17a02790d145c,Agathobacter rectalis ATCC 33656,515619,22,-1.2706326948072193,-1.2706326948072193,-1.2706326948072193,-1.2706326948072193
41,7.000000000000002e-06,0.014936,0.009562,0.027348,0.241997,0.0,0.00345296,0.00125699,0.00237067,0.0,7.019763183589999e-06,0.00316600918862,0.00275400353123,0.0215479476391,0.241996973729,1.0,3.0,4.0,3.0,1.0,CC11CM27,BAJK01000111.3667.5173,CC11CM27SCRa4b63737dbae4d26911903a691ae0086,Bacteroides gallinarum,1121096,872,-1.825736619004878,-1.825736619004878,-1.825736619004878,-1.825736619004878
42,8e-06,0.112065,0.070325,0.078696,0.033437,0.034585500000000005,0.118302,0.08109119999999999,0.018700900000000003,0.0,5.645649999999999e-07,5.0864135742199995e-06,5.19482421875e-06,0.023239823692900004,0.0334366192322,20.0,20.0,18.0,3.0,1.0,CC11CM81,AY879306.1.1517,CC11CM81SCR82ebd8b70fb24dd2b24d665179f4cecc,Abiotrophia defectiva,46125,254,-0.9505261291722702,-0.9505261291722702,-0.9505261291722702,-0.9505261291722702
43,6e-06,1e-05,0.249521,0.277821,0.21667600000000006,0.0,0.0,0.25866100000000003,0.0687481,0.028722300000000006,5.8759460449199986e-06,9.99438476563e-06,7.537866210939999e-06,5.57038574219e-06,0.0184693116144,1.0,1.0,7.0,20.0,15.0,CC11CM55,AY271254.1.1433,CC11CM55SCR6ffc64ce09114ffc99b34410e8157a3f,Akkermansia muciniphila,239935,829,-4.958607314841775,-4.958607314841775,-4.958607314841775,-4.958607314841775
44,6e-06,0.061876,0.087561,0.037073,0.250521,0.0297474,0.0141398,0.00413846,0.00527217,0.0,5.95974121094e-06,7.3731201171899994e-06,9.30771484375e-06,0.0257831867818,0.250521389372,3.0,4.0,3.0,3.0,1.0,CC11CM8,NR_112895.1,CC11CM8SCRf6ed3c1a9c0544e99982646bf7ffa612,Bacteroides oleiciplenus YIT 12058,742727,3472,-1.2084707504838084,-1.2084707504838084,-1.2084707504838084,-1.2084707504838084
45,1e-05,0.072351,6e-06,0.164184,0.121293,0.0,0.0,0.0,0.0,0.0343452,9.509216308589999e-06,0.0723511800752,6.09838867188e-06,0.16418367994799998,8.12546386719e-06,1.0,1.0,1.0,1.0,11.0,CC11CM26,NR_028883.1,CC11CM26SCR2814de5d4d324b50ac0e923a8131bb31,Dorea longicatena,88431,3678,-1.1405494593347343,-1.1405494593347343,-1.1405494593347343,-1.1405494593347343
46,8e-06,0.32805500000000004,0.254203,0.187593,0.105525,0.00131365,0.284314,0.013491899999999998,0.047913,0.00234549,7.562890625e-06,5.26102905273e-06,5.19213867188e-06,5.801342773440001e-06,5.03215332031e-06,3.0,20.0,3.0,7.0,4.0,CC11CM15,JF514887.1.1258,CC11CM15SCR514d9cbf17804b1a9fc7c2ed90ea3b1e,Catabacter hongkongensis,270498,11,-0.48405201477892035,-0.48405201477892035,-0.48405201477892035,-0.48405201477892035
47,7.000000000000002e-06,0.063375,0.088911,0.060495000000000014,0.241181,5.320350000000001e-05,0.105006,0.00215769,0.0228796,0.0,6.58637695312e-06,7.3731201171899994e-06,0.00118900449626,0.0272256977865,0.241180536491,2.0,4.0,3.0,3.0,1.0,CC11CM62,AB599947.1.1407,CC11CM62SCR2f95e2a0c58f4da0a222db9c9824220f,Bacteroides intestinalis,329854,1109,-1.1980751749397822,-1.1980751749397822,-1.1980751749397822,-1.1980751749397822
48,9e-06,0.053624,0.104113,0.157021,0.257075,0.02943,0.0365102,0.0501792,0.0,0.020708,7.40341796875e-06,5.7429992675800015e-06,7.98579101562e-06,0.15702140579600002,5.348828125e-06,5.0,5.0,10.0,1.0,8.0,CC11CM65,NR_074634.1,CC11CM65SCR2eefd679700b40b786ae2644f51fabb2,Agathobacter rectalis ATCC 33656,515619,58,-1.2706326948072193,-1.2706326948072193,-1.2706326948072193,-1.2706326948072193
49,7.000000000000002e-06,7.000000000000002e-06,0.135012,0.16428099999999998,0.274672,0.0,0.0,0.020675400000000003,0.0,0.0574462,6.7315673828099995e-06,6.727416992190001e-06,5.677734375e-06,0.164281350698,5.348828125e-06,1.0,1.0,11.0,1.0,11.0,CC11CM7,NR_025981.1,CC11CM7SCRf60f5aca42cf49f7a1f8a11ac2eb10c4,Butyrivibrio fibrisolvens,831,113,-5.096910013008056,-5.096910013008056,-5.096910013008056,-5.096910013008056
50,0.05276,0.06556100000000001,0.234287,0.24100000000000002,0.07721900000000001,0.008862899999999998,0.0156377,0.0812677,0.0558683,0.0125532,6.39638671875e-06,7.226684570310001e-06,0.0143908192549,5.9995239257800015e-06,5.03215332031e-06,5.0,3.0,11.0,10.0,5.0,CC11CM63,NR_113323.1,CC11CM63SCR4e4d77fd8e934effb79fce1d6e46b235,[Clostridium] bifermentans,1490,307,-1.183347806539682,-1.183347806539682,-1.183347806539682,-1.183347806539682
51,0.246124,0.207803,0.168222,0.027624,0.247199,0.0011813,0.0034711,0.0,0.0,0.0191679,0.013871514403,0.021903593028700003,0.27812303595,0.027624351985800003,5.42806396484e-06,3.0,3.0,1.0,1.0,7.0,CC11CM15,GU470887.1.1507,CC11CM15SCR9a6004aad81f45af89b0393bb0e6ac86,Alloprevotella rava,671218,113,-0.6823460970040189,-0.6823460970040189,-0.6823460970040189,-0.6823460970040189
52,9e-06,1e-05,0.21874,0.198498,0.294593,0.0,0.0,0.0878357,0.0444123,0.0349538,8.88232421875e-06,9.525817871089999e-06,5.97946289063e-06,6.19445800781e-06,0.0209274862522,1.0,1.0,12.0,5.0,7.0,CC11CM51,NR_133689.1,CC11CM51SCRfb22c432e5cf4aceb1b31b0769a38915,Aestuariispira insulae,1461337,3628,-4.958607314841775,-4.958607314841775,-4.958607314841775,-4.958607314841775
53,0.013787,0.146848,0.222472,0.258015,0.089245,0.0,0.00421561,0.0893252,0.0313086,0.017548400000000002,0.0137866770743,8.126953125e-06,7.43359375e-06,5.9995239257800015e-06,5.42806396484e-06,1.0,7.0,10.0,10.0,9.0,CC11CM95,NR_113140.1,CC11CM95SCRe4829071c20c4fe4b8c0fbca0ba62ee2,[Clostridium] sordellii,1505,498,-0.8331290065532382,-0.8331290065532382,-0.8331290065532382,-0.8331290065532382
54,0.033444,6e-06,8e-06,8e-06,0.105417,0.0,0.0,0.0,0.0,0.0175907,0.0334441269647,6.25022888184e-06,8.32544402363e-06,8.26641845703e-06,5.348828125e-06,1.0,1.0,1.0,1.0,5.0,CC11CM48,HQ457028.1.1424,CC11CM48SCRdf266d63ad1e4c61b11db0d1e8d39c40,Faecalibacterium prausnitzii,853,1385,-5.154901959985743,-5.154901959985743,-5.154901959985743,-5.154901959985743
55,0.063715,0.084254,0.127861,0.157395,0.24792,0.014413,0.0281969,0.0124209,0.0,0.0140894,5.72880249023e-06,7.76823730469e-06,8.19885253906e-06,0.157395394069,5.348828125e-06,4.0,8.0,5.0,1.0,9.0,CC11CM70,LC010692.1.1492,CC11CM70SCR0bc13552dc474998bbff7827f5d29654,Blautia luti,89014,741,-1.0744043170681765,-1.0744043170681765,-1.0744043170681765,-1.0744043170681765
56,6e-06,0.312035,0.232018,0.201773,0.19269,0.0,0.039609,0.00367124,0.0434608,0.0,6.05581665039e-06,7.2906494140600004e-06,5.16989135742e-06,0.025847520158700003,0.19269009933400005,1.0,7.0,5.0,5.0,1.0,CC11CM42,JN703378.1.1490,CC11CM42SCR54fcaa308bdd401a9f8f97fd0d57f87f,Coprobacter fastidiosus,1099853,823,-0.5057952979705904,-0.5057952979705904,-0.5057952979705904,-0.5057952979705904
57,8e-06,0.0559,0.044166,0.26116300000000003,0.120501,0.000333729,0.00195624,0.000597953,0.0,0.00870212,7.83403320312e-06,8.51275634766e-06,6.46490478516e-06,0.261162597586,0.0219594223226,4.0,3.0,3.0,1.0,2.0,CC11CM94,AB558168.1.1473,CC11CM94SCR7716e7e90d424e3988a90a649d225f93,Atopobium parvulum,1382,316,-1.2525804230510118,-1.2525804230510118,-1.2525804230510118,-1.2525804230510118
58,7.000000000000002e-06,6e-06,6e-06,0.301198,0.24753200000000006,0.0,0.0,0.0268508,0.0259551,0.0244324,7.02319335938e-06,6.37139892578e-06,6.12084182681e-06,0.0384338993277,5.348828125e-06,1.0,1.0,2.0,3.0,11.0,CC11CM65,NR_028915.1,CC11CM65SCR3950fbd43c5444db88e7766ee944f265,Anaerostipes caccae,105841,24,-5.154901959985743,-5.154901959985743,-5.154901959985743,-5.154901959985743
